Entity1,Relation,Entity2
class,accessibility,class
class,accessibility,method
class,comparison,class
class,comparison,method
class,containment,class
class,conversion,class
class,dependency,class
class,dependency,interface
class,immutability,method
class,implementation,interface
class,implementation,method
class,modification,class
class,modification,interface
class,preference,class
class,preference,interface
class,preference,method
interface,causality,class
interface,comparison,class
interface,comparison,interface
interface,comparison,method
interface,conversion,method
interface,dependency,class
interface,implementation,interface
interface,preference,class
interface,preference,interface
method,accessibility,method
method,comparison,method
method,containment,class
method,conversion,class
method,creation,class
method,dependency,method
method,immutability,method
method,modification,method
method,preference,class
method,preference,method
class,replacement,class
class,replacement,method
interface,replacement,class
method,replacement,class
method,replacement,method
